city_development_index,enrolled_university,education_level,experience,company_size,last_new_job,training_hours,Central_city,Experience_index,relevent_experience_Has relevent experience,relevent_experience_No relevent experience,gender_Female,gender_Male,gender_Other,major_discipline_Arts,major_discipline_Business Degree,major_discipline_Humanities,major_discipline_No Major,major_discipline_Other,major_discipline_STEM,company_type_Early Stage Startup,company_type_Funded Startup,company_type_NGO,company_type_Other,company_type_Public Sector,company_type_Pvt Ltd,company_type_Unknown,target
0.91,0,2,2,0,6,0.047619048,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
0.897,0,4,6,6,1,0.779761905,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.91,0,4,3,0,6,0.071428571,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.91,0,2,3,0,1,0.104166667,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.555,2,3,4,0,1,0.12797619,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
0.897,0,4,21,5,2,0.053571429,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.92,0,3,6,1,2,0.086309524,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.698,0,4,13,3,5,0.363095238,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
0.487,0,4,19,0,1,0.154761905,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
0.92,2,3,10,0,2,0.12202381,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.926,2,2,3,0,2,0.235119048,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.895,0,4,21,8,5,0.089285714,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
